champion_score,repetition_n,relevance_n,relevance_tier,final_score,brand,funnel_stage,format,impressions,true_longevity_days,true_versions,reissue_periods,funnel,cta_text,headline,description,ad_id,body,ad_library_url
0.7,0.667,0.667,2,,Camtasia,MOFU,DCO,,71.5,1,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},27137286055935763,"techsmith.com/Camtasia   Training Mag Choice Awards Winner 2025​   With Camtasia, creating professional training videos has never been easier. Get unlimited AI tools that will save you hours of work.​   Training Mag Choice Awards Winner 2025​   With Camtasia, creating professional training videos ha",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=14531695471&search_type=page&q=Training%20Mag%20Choice%20Awards%20Winner%202025%E2%80%8B
0.6944,0.167,0.667,2,,Camtasia,MOFU,DCO,,70.5,1,1,neutral,Learn more,{{product.name}},{{product.description}},2576669752783892,"techsmith.com/camtasia   Translate Training Videos​ with Camtasia​   Instantly create captions & translations for your training videos – plus, the translation syncs with the video. Try it free today!​   Translate Training Videos​ with Camtasia​   Instantly create captions & translations for your tra",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=14531695471&search_type=page&q=Translate%20Training%20Videos%E2%80%8B%20with%20Camtasia%E2%80%8B%20Instantly
0.5824,0.75,0.667,2,,Camtasia,MOFU,DCO,,50.5,1,1,neutral,Learn more,{{product.name}},{{product.description}},1373501117978409,"techsmith.com/camtasia   Say it with a video   Save time and elevate your training videos with Camtasia's intuitive video creation tools. With AI-powered captioning, transcription, and audio cleanup, nothing gets lost in translation.   Say it with a video   Save time and elevate your training videos",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=14531695471&search_type=page&q=Say%20it%20with%20a%20video%20Save
0.3992,0.75,1.0,3,,Scribe,MOFU,DCO,,15.5,7,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},28812767481658401,"scribe.com   The SOP that used to take hours. Now takes minutes.   Writing an SOP shouldn’t take longer than doing the process itself.  Scribe captures your work and turns it into a step-by-step guide with screenshots and instructions, cutting documentation time by 75%.  Make your next guide with Sc",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=The%20SOP%20that%20used%20to%20take
0.3962,0.0,0.333,1,,Loom,MOFU,DCO,,127.5,2,1,prospecting·utm,Sign up,{{product.name}},{{product.description}},2199486914156206,"atlassian.com   Video that moves work forward   Easily create, edit, notate, and share videos with Loom.   Video that moves work forward   Easily create, edit, notate, and share videos with Loom.   Video that moves work forward   Easily create, edit, notate, and share videos with Loom.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=115407078489594&search_type=page&q=Video%20that%20moves%20work%20forward%20Easily
0.3962,0.583,0.333,1,,Loom,MOFU,DCO,,127.5,2,1,prospecting·utm,Sign up,{{product.name}},{{product.description}},1454359272564729,atlassian.com   Build and ship quicker with AI workflows   Create ready-to-share documents in one click with Loom.   Build and ship quicker with AI workflows   Create ready-to-share documents in one click with Loom.   Build and ship quicker with AI workflows   Create ready-to-share documents in one ,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=115407078489594&search_type=page&q=Build%20and%20ship%20quicker%20with%20AI
0.3962,0.0,0.333,1,,Loom,MOFU,VIDEO,,127.5,2,1,prospecting·utm,Learn more,Product teams move work forward with Loom,Powered by Atlassian,1472348837768432,"Share presentations, feedback, updates, and more in a Loom.   Product teams move work forward with Loom   www.atlassian.com   Powered by Atlassian",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=115407078489594&search_type=page&q=Share%20presentations%2C%20feedback%2C%20updates%2C%20and%20more
0.3864,0.75,0.333,1,,WalkMe,TOFU,IMAGE,,69.5,6,1,prospecting·inferred,Download,Fix What You Can't See,Workers are losing 51 days a year to tech friction. Executives can't see 94% of the apps their teams are actually using. Find out where AI adoption breaks down and what it takes to fix it.,1762440595135113,Organizations getting execution right are pulling away. It’s not about more AI - it's about making it work for people. Get the 2026 State of Digital Adoption report.   Fix What You Can't See   walkme.com   Workers are losing 51 days a year to tech friction. Executives can't see 94% of the apps their,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=180728395378883&search_type=page&q=Organizations%20getting%20execution%20right%20are%20pulling
0.37,0.417,0.667,2,,Camtasia,MOFU,DCO,,12.5,2,1,neutral,Learn more,{{product.name}},{{product.description}},1675484953890583,"techsmith.com/camtasia   Easy training video creation   Turn that stack of training manuals into polished videos with Camtasia's built-in AI tools. Professional results, no steep learning curve required.   Easy training video creation   Turn that stack of training manuals into polished videos with C",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=14531695471&search_type=page&q=Easy%20training%20video%20creation%20Turn%20that
0.3544,0.417,1.0,3,,Scribe,MOFU,VIDEO,,8.5,7,1,prospecting·inferred,Learn more,The SOP That Used to Take Hours. Now Takes Minutes.,Create step-by-step SOPs as you work.,1587377913081253,❌ 4 hours making an SOP ❌ A call to explain the SOP ❌ A recording of the call explaining the SOP ❌ They still ask you anyway  ✅ Record it once. Scribe writes the SOP. Share it.  Get started for free 👇   The SOP That Used to Take Hours. Now Takes Minutes.   scribe.com   Create step-by-step SOPs as yo,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=%E2%9D%8C%204%20hours%20making%20an%20SOP
0.3544,1.0,1.0,3,,Scribe,MOFU,DCO,,8.5,11,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},1834837897315178,"scribe.com   Cut New Hire Ramp Time by 40%   Most companies still train teams the same way they did in the 90s. 😬  Meetings. Long videos. Shadowing. Outdated documents.  Yet work changes constantly, and the training rarely keeps up.  Scribe captures real processes as you work and turns them into ste",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Cut%20New%20Hire%20Ramp%20Time%20by
0.3544,0.75,1.0,3,,Scribe,MOFU,DCO,,8.5,11,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},1739834680659781,"scribe.com   Create Comprehensive Training Guides   Most companies still train teams the same way they did in the 90s. 😬  Meetings. Long videos. Shadowing. Outdated documents.  Yet work changes constantly, and the training rarely keeps up.  Scribe captures real processes as you work and turns them i",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Create%20Comprehensive%20Training%20Guides%20Most%20companies
0.3544,0.917,1.0,3,,Scribe,MOFU,DCO,,8.5,4,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},1073793318540289,"scribe.com   Cut New Hire Ramp Time by 40%   Still doing it the hard way? 👀  Every hour spent writing docs by hand, walking someone through the same task twice, or creating training without proper guides is time you’re not getting back.  Scribe captures any process as you work. The guide builds itse",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Cut%20New%20Hire%20Ramp%20Time%20by
0.3544,0.417,1.0,3,,Scribe,MOFU,DCO,,8.5,7,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},2031202977500983,scribe.com   The SOP That Used to Take Hours. Now Takes Minutes.   ❌ 4 hours making an SOP ❌ A call to explain the SOP ❌ A recording of the call explaining the SOP ❌ They still ask you anyway  ✅ Record it once. Scribe writes the SOP. Share it.  Get started for free 👇   The SOP That Used to Take Hour,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=The%20SOP%20That%20Used%20to%20Take
0.3544,0.667,1.0,3,,Scribe,MOFU,DCO,,8.5,3,1,neutral,Learn more,{{product.name}},{{product.description}},2115739389038182,scribe.com   Create Comprehensive Training Guides   Every minute counts when onboarding new hires. ⏰  But creating all the training docs adds hours of work to a week that’s already full.  Do the task as usual and Scribe creates the step-by-step onboarding guide automatically.  New hires learn faster,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Create%20Comprehensive%20Training%20Guides%20Every%20minute
0.3544,0.417,1.0,3,,Scribe,MOFU,DCO,,8.5,7,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},1561719362115069,scribe.com   Save 8 Hours Every Week With Scribe   ❌ 4 hours making an SOP ❌ A call to explain the SOP ❌ A recording of the call explaining the SOP ❌ They still ask you anyway  ✅ Record it once. Scribe writes the SOP. Share it.  Get started for free 👇   The SOP That Used to Take Hours. Now Takes Min,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Save%208%20Hours%20Every%20Week%20With
0.3544,0.667,1.0,3,,Scribe,MOFU,DCO,,8.5,4,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},1417603216926102,"scribe.com   Turn Any Process Into a Step-by-Step Guide   Still doing it the hard way? 👀  Every hour spent writing docs by hand, walking someone through the same task twice, or creating training without proper guides is time you’re not getting back.  Scribe captures any process as you work. The guid",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Turn%20Any%20Process%20Into%20a%20Step-by-Step
0.327,0.583,0.333,1,,Loom,MOFU,IMAGE,,82.5,1,1,neutral,Learn more,Loom AI notes & actions,Loom AI Meeting Recorder captures notes and action items automatically to keep your team aligned without manual note-taking.,1005832245724475,"Add the power of Loom to your Atlassian workflow. Capture recordings, AI notes, and action items so meeting insights are easy to find.   Loom AI notes & actions   atlassian.com   Loom AI Meeting Recorder captures notes and action items automatically to keep your team aligned without manual note-taki",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=115407078489594&search_type=page&q=Add%20the%20power%20of%20Loom%20to
0.327,0.167,0.333,1,,Loom,MOFU,IMAGE,,82.5,1,1,neutral,Learn more,Loom for async updates,Loom video messaging helps you communicate complex work with a simple visual recording experience.,1025676566662228,"Explain ideas, give feedback, and share updates with Loom so everyone stays in the loop, on their own time.   Loom for async updates   atlassian.com   Loom video messaging helps you communicate complex work with a simple visual recording experience.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=115407078489594&search_type=page&q=Explain%20ideas%2C%20give%20feedback%2C%20and%20share
0.316,0.417,1.0,3,,Scribe,MOFU,DCO,,2.5,6,1,neutral,Learn more,{{product.name}},{{product.description}},811021728767763,"scribe.com   Do the Task. Scribe Writes the SOP.   Over 6 million people, 1 million teams, and over 600,000 businesses run on Scribe.  Complete any process as usual and Scribe turns it into a step-by-step guide automatically.  No manual screenshots. No writing every step. No starting from scratch.  ",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Do%20the%20Scribe%20Writes%20the%20Over
0.316,0.417,1.0,3,,Scribe,MOFU,DCO,,2.5,6,1,neutral,Learn more,{{product.name}},{{product.description}},1023952627073423,"scribe.com   Skip the Call. Send a Scribe.   Over 6 million people, 1 million teams, and over 600,000 businesses run on Scribe.  Complete any process as usual and Scribe turns it into a step-by-step guide automatically.  No manual screenshots. No writing every step. No starting from scratch.   Answe",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Skip%20the%20Send%20a%20Over%206
0.316,0.5,1.0,3,,Scribe,MOFU,VIDEO,,2.5,2,1,prospecting·inferred,Learn more,Skip the Call. Send a Scribe.,Create guidance people can follow step by step.,1377079834621636,Great at your job. Tired of being everyone’s helpdesk? 😮‍💨  Your phone goes off while you’re away. Someone needs you to explain a process. You’re back in work mode before you chose to be.  Not because your team is difficult. Because you’re the only person who can show them how things get done.  Scri,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Great%20at%20your%20Tired%20of%20being
0.316,0.417,1.0,3,,Scribe,MOFU,DCO,,2.5,2,1,prospecting·inferred,Learn more,{{product.name}},{{product.description}},2208432913269908,"scribe.com   Turn Any Process Into a Step-by-Step Guide   Great at your job, but tired of being everyone’s helpdesk? 😮‍💨  Your phone goes off at dinner. Someone needs you while you’re away. You’re back in work mode before you chose to be.  Not because your team is difficult. Because you’re the only ",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Turn%20Any%20Process%20Into%20a%20Step-by-Step
0.316,0.333,1.0,3,,Scribe,MOFU,DCO,,2.5,6,1,neutral,Learn more,{{product.name}},{{product.description}},1761037088679823,"scribe.com   Create Comprehensive Training Guides   Over 6 million people, 1 million teams, and over 600,000 businesses run on Scribe.  Complete any process as usual and Scribe turns it into a step-by-step guide automatically.  No manual screenshots. No writing every step. No starting from scratch. ",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Create%20Comprehensive%20Training%20Guides%20Over%206
0.316,0.583,1.0,3,,Scribe,MOFU,DCO,,2.5,3,1,prospecting·inferred,See details,{{product.name}},{{product.description}},3118264718371930,"scribe.com   Cut New Hire Ramp Time by 40%   Too long. Complicated. Hard to follow.  Onboarding shouldn’t slow down new hires, or the people training them.  Scribe captures real processes and turns them into clear, instructional guides.  Guide Me then walks new hires through each step on their scree",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=110376044484488&search_type=page&q=Cut%20New%20Hire%20Ramp%20Time%20by
0.2638,0.5,0.0,0,0.25,Loom,TOFU,IMAGE,,41.5,1,1,prospecting·inferred,Download,The Modern Marketer's Guide,,1303392765004693,"Learn how Loom helps marketers eliminate approval bottlenecks, speed up stakeholder reviews, and ship campaigns faster.   The Modern Marketer's Guide   atlassian.com",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&view_all_page_id=115407078489594&search_type=page&q=Learn%20how%20Loom%20helps%20marketers%20eliminate
